src_ip,dst_ip,src_port,dst_port,proto,ip_version,service,duration,total_packets,total_bytes,a_to_b_packets,b_to_a_packets,a_to_b_bytes,b_to_a_bytes,a_to_b_packet_ratio,b_to_a_packet_ratio,packets_per_second,bytes_per_second,min_pkt_size,max_pkt_size,mean_pkt_size,std_pkt_size,tcp_syn_count,tcp_ack_count,tcp_fin_count,tcp_rst_count,tcp_psh_count,src_is_private,dst_is_private,both_private
2400:3200:baba::1,240e:393:3219:9550:709f:cf42:167a:72bc,443,56303,tcp,ipv6,https,24.07286500930786,170,29962,87,83,16444,13518,0.5117647058823529,0.48823529411764705,7.061893128809922,1244.6378936788406,86,1506,176.24705882352941,230.58551589032712,2,169,0,0,98,0,0,0
111.124.203.50,192.168.1.173,443,56684,tcp,ipv4,https,21.732275009155273,45,17769,20,25,7684,10085,0.4444444444444444,0.5555555555555556,2.0706529795450592,817.6318398563591,54,1506,394.8666666666667,527.8580027915757,2,44,0,0,17,0,1,0
192.168.1.173,223.5.5.5,56200,853,tcp,ipv4,tcp_other,21.330188989639282,34,8178,16,18,2793,5385,0.47058823529411764,0.5294117647058824,1.5939849392105634,383.4002597901173,54,1506,240.52941176470588,416.5017643698324,2,32,1,1,14,1,0,0
192.168.1.173,223.6.6.6,56206,853,tcp,ipv4,tcp_other,21.329856872558594,32,8074,16,16,2816,5258,0.5,0.5,1.500244478488218,378.5304349785585,54,1506,252.3125,426.96021751885735,2,30,1,1,13,1,0,0
17.145.0.2,192.168.1.173,443,56801,tcp,ipv4,https,20.235640048980713,77,40404,37,40,33534,6870,0.4805194805194805,0.5194805194805194,3.805167507112213,1996.6751682774268,54,1506,524.7272727272727,635.8185364820063,2,76,0,0,20,0,1,0
111.124.203.54,192.168.1.173,443,56600,tcp,ipv4,https,19.873955011367798,23,9023,12,11,6528,2495,0.5217391304347826,0.4782608695652174,1.1572935526342956,454.01129240953253,54,1506,392.30434782608694,535.4226639875559,2,22,2,0,7,0,1,0
192.168.1.173,223.5.5.5,56642,853,tcp,ipv4,tcp_other,19.653491020202637,55,10917,27,28,3936,6981,0.4909090909090909,0.509090909090909,2.798485009277142,555.473833568701,60,1506,198.4909090909091,333.97495130499465,2,51,2,3,30,1,0,0
192.168.1.173,223.6.6.6,56639,853,tcp,ipv4,tcp_other,19.650697946548462,58,11305,28,30,4041,7264,0.4827586206896552,0.5172413793103449,2.9515491082181833,575.2976322139062,60,1506,194.91379310344828,326.22502729012064,2,54,2,3,31,1,0,0
115.238.230.13,192.168.1.173,443,56744,tcp,ipv4,https,19.547182083129883,2385,2745719,1868,517,2709759,35960,0.7832285115303983,0.21677148846960168,122.01247166251981,140466.2313126802,54,1506,1151.244863731656,614.3473941952888,2,2384,0,0,130,0,1,0
240e:393:3219:9550:709f:cf42:167a:72bc,240e:938:a07:6:0:14:203:37,56592,443,tcp,ipv6,https,19.50091814994812,23,9425,12,11,2756,6669,0.5217391304347826,0.4782608695652174,1.179431646404874,483.31057684199726,74,1506,409.7826086956522,533.4666736277493,2,22,2,0,7,0,0,0
192.168.1.173,223.5.5.5,56731,853,tcp,ipv4,tcp_other,18.786556005477905,38,8829,19,19,3170,5659,0.5,0.5,2.022723057324595,469.9637335031276,60,1506,232.3421052631579,395.03939019557805,2,34,2,3,18,1,0,0
240e:393:3219:9550:709f:cf42:167a:72bc,240e:938:a07:6:0:14:203:37,56596,443,tcp,ipv6,https,18.27140998840332,22,9352,11,11,2682,6670,0.5,0.5,1.2040669009103937,511.8378935142729,74,1506,425.09090909090907,540.5836836311881,2,21,2,0,7,0,0,0
2406:da14:1cb0:deb9:1592:7d40:41d9:5445,240e:393:3219:9550:709f:cf42:167a:72bc,7001,56780,tcp,ipv6,tcp_other,16.50932002067566,66,23108,36,30,13250,9858,0.5454545454545454,0.45454545454545453,3.9977418765487647,1399.6942315649826,86,1506,350.1212121212121,451.93994355483665,2,65,0,0,31,0,0,0
182.140.194.120,192.168.1.173,443,56785,tcp,ipv4,https,15.623630046844482,35,13741,19,16,9544,4197,0.5428571428571428,0.45714285714285713,2.24019641370534,879.5011120207164,54,1506,392.6,502.5362645052167,2,34,0,0,17,0,1,0
2406:da14:dd5:18fa:9272:277f:67e9:d954,240e:393:3219:9550:709f:cf42:167a:72bc,7001,56811,tcp,ipv6,tcp_other,15.56428599357605,36,14384,15,21,7904,6480,0.4166666666666667,0.5833333333333334,2.3129875674899907,924.1670325215563,74,1506,399.55555555555554,479.99365993755265,2,35,0,0,14,0,0,0
2406:da14:dd5:18a5:92a0:b82d:cba2:d736,240e:393:3219:9550:709f:cf42:167a:72bc,7001,56846,tcp,ipv6,tcp_other,15.416815996170044,49,20491,25,24,11510,8981,0.5102040816326531,0.4897959183673469,3.1783475921469733,1329.1330716466048,86,1506,418.18367346938777,524.0674778748414,2,48,0,0,18,0,0,0
2406:da14:dd5:18fa:9272:277f:67e9:d954,240e:393:3219:9550:709f:cf42:167a:72bc,7001,55831,tcp,ipv6,tcp_other,15.372596025466919,14,1180,7,7,578,602,0.5,0.5,0.9107115009596938,76.75996936660276,74,110,84.28571428571429,8.90768986749704,0,12,2,2,1,0,0,0
111.124.203.50,192.168.1.173,443,56904,tcp,ipv4,https,15.307066917419434,33,15536,14,19,7037,8499,0.42424242424242425,0.5757575757575758,2.155866971643406,1014.9560385288471,54,1506,470.7878787878788,578.3074445821503,2,32,0,0,13,0,1,0
117.21.179.20,192.168.1.173,443,56824,tcp,ipv4,https,15.113263845443726,32,11333,18,14,7035,4298,0.5625,0.4375,2.117345421032083,749.8711142673935,54,1506,354.15625,495.37606354762187,2,31,0,0,14,0,1,0
111.124.203.8,192.168.1.173,443,56850,tcp,ipv4,https,10.107961177825928,31,18747,17,14,15019,3728,0.5483870967741935,0.45161290322580644,3.0668894997346676,1854.6766919847037,66,1506,604.741935483871,642.8057935655335,2,30,1,0,7,0,1,0
2400:3200:baba::1,240e:393:3219:9550:709f:cf42:167a:72bc,853,56874,tcp,ipv6,tcp_other,8.989014863967896,29,8661,14,15,5589,3072,0.4827586206896552,0.5172413793103449,3.226159978469424,963.509364604265,86,1506,298.6551724137931,439.65843136047056,2,28,1,0,13,0,0,0
192.168.1.173,223.5.5.5,56875,853,tcp,ipv4,tcp_other,8.973759889602661,32,8252,15,17,2749,5503,0.46875,0.53125,3.5659523314275896,919.5699574668897,66,1506,257.875,426.95372626901855,2,31,1,0,14,1,0,0
115.238.230.17,192.168.1.173,443,56364,tcp,ipv4,https,8.700136184692383,20,5320,10,10,1189,4131,0.5,0.5,2.298814590418639,611.4846810513579,54,1506,266.0,437.56039583124976,2,18,2,1,6,0,1,0
115.238.230.16,192.168.1.173,443,56609,tcp,ipv4,https,8.283073902130127,8,486,4,4,246,240,0.5,0.5,0.9658250179251292,58.6738698389516,54,78,60.75,7.611668673819165,2,6,2,1,0,0,1,0
122.228.195.18,192.168.1.173,443,56325,tcp,ipv4,https,8.251368999481201,11,660,6,5,366,294,0.5454545454545454,0.45454545454545453,1.3331121176003178,79.98672705601906,54,78,60.0,6.768912897813207,2,8,2,2,0,0,1,0
240e:393:3219:9550:709f:cf42:167a:72bc,240e:f7:8e00:44a:303::b,56351,443,tcp,ipv6,https,8.222228050231934,23,5916,12,11,4487,1429,0.5217391304347826,0.4782608695652174,2.7972953145408335,719.5130035140683,74,1464,257.2173913043478,400.2466583541073,2,21,2,1,7,0,0,0
115.238.230.13,192.168.1.173,443,56408,tcp,ipv4,https,8.221043109893799,11,660,6,5,366,294,0.5454545454545454,0.45454545454545453,1.3380297187301942,80.28178312381165,54,78,60.0,6.768912897813207,2,8,2,2,0,0,1,0
115.238.230.13,192.168.1.173,443,56399,tcp,ipv4,https,8.201877117156982,8,486,4,4,246,240,0.5,0.5,0.9753864738189397,59.25472828450059,54,78,60.75,7.611668673819165,2,6,2,1,0,0,1,0
115.238.230.14,192.168.1.173,443,56607,tcp,ipv4,https,8.157819032669067,11,660,6,5,366,294,0.5454545454545454,0.45454545454545453,1.3483996097423885,80.90397658454332,54,78,60.0,6.768912897813207,2,8,2,2,0,0,1,0
115.238.230.11,192.168.1.173,443,56391,tcp,ipv4,https,8.15435791015625,11,660,6,5,366,294,0.5454545454545454,0.45454545454545453,1.3489719388327932,80.93831632996759,54,78,60.0,6.768912897813207,2,8,2,2,0,0,1,0
